id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/256997;Person;;;256997;Sandra GÓMEZ LÓPEZ;Gómez López;Sandra;GOMEZLOPEZS;ES;S&D
person/257107;Person;;;257107;Virgil-Daniel POPESCU;Popescu;Virgil-Daniel;POPESCUV;RO;PPE
person/257145;Person;;;257145;Daniele POLATO;Polato;Daniele;POLATOD;IT;ECR
person/124858;Person;;;124858;Fabio DE MASI;De Masi;Fabio;DEMASIF;DE;NI
person/200345;Person;;;200345;Pierre-Romain THIONNET;Thionnet;Pierre-Romain;THIONNETP;FR;PfE
person/125046;Person;;;125046;Jonás FERNÁNDEZ;Fernández;Jonás;FERNANDEZ JONAS;ES;S&D
person/197445;Person;;;197445;Moritz KÖRNER;Körner;Moritz;KORNER;DE;Renew
person/96681;Person;;;96681;Vilija BLINKEVIČIŪTĖ;Blinkevičiūtė;Vilija;BLINKEVICIUTE;LT;S&D
person/1909;Person;;;1909;Bernd LANGE;Lange;Bernd;LANGE BERND;DE;S&D
person/197466;Person;;;197466;Jutta PAULUS;Paulus;Jutta;PAULUS;DE;Verts/ALE
person/257121;Person;;;257121;Matteo RICCI;Ricci;Matteo;RICCIM;IT;S&D
person/96791;Person;;;96791;Elżbieta Katarzyna ŁUKACIJEWSKA;Łukacijewska;Elżbieta Katarzyna;LUKACIJEWSKA;PL;PPE
person/256913;Person;;;256913;Emma FOURREAU;Fourreau;Emma;FOURREAUE;FR;The Left
person/96709;Person;;;96709;Morten LØKKEGAARD;Løkkegaard;Morten;LOKKEGAARD;DK;Renew
person/257025;Person;;;257025;Kristoffer STORM;Storm;Kristoffer;STORMK;DK;ECR
person/257299;Person;;;257299;Kathleen FUNCHION;Funchion;Kathleen;FUNCHIONK;IE;The Left
person/256808;Person;;;256808;Petras GRAŽULIS;Gražulis;Petras;GRAZULISP;LT;ESN
person/257149;Person;;;257149;Lara MAGONI;Magoni;Lara;MAGONIL;IT;ECR
person/257011;Person;;;257011;Lucia YAR;Yar;Lucia;YARL;SK;Renew
person/197840;Person;;;197840;Rasa JUKNEVIČIENĖ;Juknevičienė;Rasa;JUKNEVICIENE;LT;PPE
person/256844;Person;;;256844;Jaroslava POKORNÁ JERMANOVÁ;Pokorná Jermanová;Jaroslava;POKORNAJERMANOVAJ;CZ;PfE
person/256974;Person;;;256974;Verena MERTENS;Mertens;Verena;MERTENSV;DE;PPE
person/124806;Person;;;124806;David MCALLISTER;McAllister;David;MACALLISTER;DE;PPE
person/197425;Person;;;197425;Ralf SEEKATZ;Seekatz;Ralf;SEEKATZ;DE;PPE
person/197699;Person;Κουντουρά;Έλενα;197699;Elena KOUNTOURA;Kountoura;Elena;KOUNTOURA;GR;The Left
person/256946;Person;;;256946;Christine SINGER;Singer;Christine;SINGERC;DE;Renew
person/256951;Person;;;256951;Anja ARNDT;Arndt;Anja;ARNDTA;DE;ESN
person/204346;Person;;;204346;Dominik TARCZYŃSKI;Tarczyński;Dominik;TARCZYŃSKI;PL;ECR
person/256860;Person;;;256860;András LÁSZLÓ;László;András;LASZLOA;HU;PfE
person/256888;Person;;;256888;Rody TOLASSY;Tolassy;Rody;TOLASSYR;FR;PfE
person/257238;Person;;;257238;Aodhán Ó RÍORDÁIN;Ó Ríordáin;Aodhán;ORIORDAINA;IE;S&D
person/256919;Person;;;256919;Christophe GOMART;Gomart;Christophe;GOMARTC;FR;PPE
person/256944;Person;;;256944;Hans NEUHOFF;Neuhoff;Hans;NEUHOFFH;DE;ESN
person/124877;Person;;;124877;Jadwiga WIŚNIEWSKA;Wiśniewska;Jadwiga;WISNIEWSKA;PL;ECR
person/197435;Person;;;197435;Gabriele BISCHOFF;Bischoff;Gabriele;BISCHOFF;DE;S&D
person/197398;Person;;;197398;Pär HOLMGREN;Holmgren;Pär;HOLMGREN;SE;Verts/ALE
person/257261;Person;ЛАЗАРОВ;Илия;257261;Ilia LAZAROV;Lazarov;Ilia;LAZAROVI;BG;PPE
person/257151;Person;;;257151;Letizia MORATTI;Moratti;Letizia;MORATTIL;IT;PPE
person/197670;Person;;;197670;Andreas SCHIEDER;Schieder;Andreas;SCHIEDER;AT;S&D
person/257009;Person;;;257009;Isabel SERRA SÁNCHEZ;Serra Sánchez;Isabel;SERRASANCHEZI;ES;The Left
person/96711;Person;;;96711;Pascal CANFIN;Canfin;Pascal;CANFIN;FR;Renew
person/193292;Person;;;193292;Tilly METZ;Metz;Tilly;METZ;LU;Verts/ALE
person/193419;Person;;;193419;Christophe HANSEN;Hansen;Christophe;HANSEN;LU;PPE
